PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
17,2026/3/23,1,2,越井,Right,1,Left,0,0,1,Slider,BallCalled,119,,,
18,2026/3/23,1,3,越井,Right,1,Left,0,1,1,Cutter,FoulBallFieldable,135,,,
19,2026/3/23,1,4,越井,Right,1,Left,0,1,2,Slider,InPlay,,Single,GroundBall,
20,2026/3/23,2,1,越井,Right,2,Left,0,0,0,Cutter,BallCalled,129,,,
21,2026/3/23,2,2,越井,Right,2,Left,0,1,0,Cutter,InPlay,127,Error,Bunt,
22,2026/3/23,3,1,越井,Right,3,Left,0,0,0,Cutter,StrikeSwinging,131,,,
23,2026/3/23,3,2,越井,Right,3,Left,0,0,1,Fastball,InPlay,,Double,FlyBall,
24,2026/3/23,4,1,越井,Right,4,Left,0,0,0,Slider,BallCalled,122,,,
25,2026/3/23,4,2,越井,Right,4,Left,0,1,0,Fastball,InPlay,,Triple,FlyBall,
26,2026/3/23,5,1,越井,Right,5,Left,0,0,0,Cutter,InPlay,126,Single,LineDrive,
27,2026/3/23,6,1,越井,Right,6,Right,0,0,0,Cutter,BallCalled,,,,
28,2026/3/23,6,2,越井,Right,6,Right,0,1,0,Fastball,FoulBallFieldable,140,,,
29,2026/3/23,6,3,越井,Right,6,Right,0,1,1,Fastball,StrikeCalled,147,,,
30,2026/3/23,6,4,越井,Right,6,Right,0,1,2,Splitter,InPlay,131,Out,GroundBall,
31,2026/3/23,7,1,越井,Right,7,Right,1,0,0,Cutter,BallCalled,127,,,
32,2026/3/23,7,2,越井,Right,7,Right,1,1,0,Fastball,BallCalled,143,,,
33,2026/3/23,7,3,越井,Right,7,Right,1,2,0,Fastball,FoulBallFieldable,,,,
34,2026/3/23,7,4,越井,Right,7,Right,1,2,1,Cutter,BallCalled,130,,,
35,2026/3/23,7,5,越井,Right,7,Right,1,3,1,Fastball,InPlay,142,Out,FlyBall,
36,2026/3/23,8,1,越井,Right,8,Left,2,0,0,Cutter,BallCalled,131,,,
37,2026/3/23,8,2,越井,Right,8,Left,2,1,0,Cutter,FoulBallFieldable,,,,
38,2026/3/23,8,3,越井,Right,8,Left,2,1,1,Fastball,StrikeCalled,142,,,
39,2026/3/23,8,4,越井,Right,8,Left,2,1,2,Fastball,FoulBallFieldable,144,,,
40,2026/3/23,8,5,越井,Right,8,Left,2,1,2,Splitter,BallCalled,121,,,
41,2026/3/23,8,6,越井,Right,8,Left,2,2,2,Fastball,BallCalled,141,,,
42,2026/3/23,8,7,越井,Right,8,Left,2,3,2,Fastball,InPlay,143,Out,GroundBall,
43,2026/3/23,1,1,越井,Right,9,Right,0,0,0,Cutter,BallCalled,129,,,
44,2026/3/23,1,2,越井,Right,9,Right,0,1,0,Fastball,FoulBallFieldable,138,,,
45,2026/3/23,1,3,越井,Right,9,Right,0,1,1,Slider,InPlay,115,Out,FlyBall,
46,2026/3/23,2,1,越井,Right,1,Left,1,0,0,Slider,InPlay,109,Out,GroundBall,
47,2026/3/23,3,1,越井,Right,2,Left,2,0,0,Splitter,StrikeCalled,120,,,
48,2026/3/23,3,2,越井,Right,2,Left,2,0,1,Fastball,BallCalled,136,,,
49,2026/3/23,3,3,越井,Right,2,Left,2,1,1,Cutter,BallCalled,132,,,
50,2026/3/23,3,4,越井,Right,2,Left,2,2,1,Cutter,FoulBallFieldable,131,,,
51,2026/3/23,3,5,越井,Right,2,Left,2,2,2,Cutter,InPlay,136,Single,FlyBall,
52,2026/3/23,4,1,越井,Right,3,Left,2,0,0,Cutter,BallCalled,130,,,
