PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
14,2026/9/8,2,8,今村,Right,3,Left,0,3,2,Slider,FoulBallFieldable,121,,,
15,2026/9/8,2,9,今村,Right,3,Left,0,3,2,Fastball,BallCalled,136,Walk,,
16,2026/9/8,3,1,今村,Right,4,Right,0,0,0,Fastball,InPlay,136,Double,LineDrive,
17,2026/9/8,4,1,今村,Right,5,Left,0,0,0,Fastball,InPlay,140,Double,LineDrive,
18,2026/9/8,5,1,今村,Right,6,Right,0,0,0,Slider,BallCalled,124,,,
19,2026/9/8,5,2,今村,Right,6,Right,0,1,0,Fastball,InPlay,138,Out,FlyBall,
1,2026/9/8,1,1,山田翔,Left,7,Left,0,0,0,Slider,BallCalled,112,,,
2,2026/9/8,1,2,山田翔,Left,7,Left,0,1,0,Fastball,InPlay,131,Out,GroundBall,
3,2026/9/8,2,1,山田翔,Left,8,Left,1,0,0,Slider,BallCalled,117,,,
4,2026/9/8,2,2,山田翔,Left,8,Left,1,1,0,Slider,InPlay,111,Out,FlyBall,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
