PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed
3,2026/7/4,1,3,田中柊,Right,阿部,Left,1,1,1,TwoSeamFastball,BallCalled,,
4,2026/7/4,1,4,田中柊,Right,阿部,Left,1,2,1,TwoSeamFastball,StrikeCalled,,
5,2026/7/4,1,5,田中柊,Right,阿部,Left,1,2,2,Fastball,FoulBallFieldable,,
6,2026/7/4,1,6,田中柊,Right,阿部,Left,1,2,2,TwoSeamFastball,InPlay,Single,
7,2026/7/4,2,1,田中柊,Right,川尻,Right,1,0,0,Cutter,StrikeCalled,,
8,2026/7/4,2,2,田中柊,Right,川尻,Right,2,0,1,TwoSeamFastball,InPlay,Out,
1,2026/7/4,1,1,前田歩,Right,德丸,Left,0,0,0,ChangeUp,StrikeCalled,,
2,2026/7/4,1,2,前田歩,Right,德丸,Left,0,0,1,Fastball,BallCalled,,
3,2026/7/4,1,3,前田歩,Right,德丸,Left,0,1,1,Fastball,FoulBallFieldable,,
4,2026/7/4,1,4,前田歩,Right,德丸,Left,0,1,2,Fastball,BallCalled,,
5,2026/7/4,1,5,前田歩,Right,德丸,Left,0,2,2,Slider,FoulBallFieldable,,
6,2026/7/4,1,6,前田歩,Right,德丸,Left,0,2,2,Fastball,FoulBallFieldable,,
7,2026/7/4,1,7,前田歩,Right,德丸,Left,0,2,2,Slider,BallCalled,,
8,2026/7/4,1,8,前田歩,Right,德丸,Left,0,3,2,Fastball,FoulBallFieldable,,
9,2026/7/4,1,9,前田歩,Right,德丸,Left,0,3,2,ChangeUp,BallCalled,Undefined,
10,2026/7/4,2,1,前田歩,Right,大越,Right,0,0,0,Fastball,StrikeCalled,,
11,2026/7/4,2,2,前田歩,Right,大越,Right,0,0,1,Fastball,StrikeCalled,,
12,2026/7/4,2,3,前田歩,Right,大越,Right,0,0,2,Slider,FoulBallFieldable,,
13,2026/7/4,2,4,前田歩,Right,大越,Right,0,0,2,Fastball,InPlay,Out,
14,2026/7/4,3,1,前田歩,Right,中村俊,Left,1,0,0,Slider,StrikeCalled,,
15,2026/7/4,3,2,前田歩,Right,中村俊,Left,1,0,1,Slider,InPlay,Single,
16,2026/7/4,4,1,前田歩,Right,永田,Right,1,0,0,Fastball,FoulBallFieldable,,
17,2026/7/4,4,2,前田歩,Right,永田,Right,1,0,1,Slider,BallCalled,,
18,2026/7/4,4,3,前田歩,Right,永田,Right,2,1,1,Slider,InPlay,Out,
1,2026/7/4,1,1,田中柊,Right,霜,Right,0,0,0,Fastball,StrikeCalled,,
2,2026/7/4,1,2,田中柊,Right,霜,Right,0,0,1,Fastball,BallCalled,,
3,2026/7/4,1,3,田中柊,Right,霜,Right,0,1,1,Fastball,StrikeCalled,,
4,2026/7/4,1,4,田中柊,Right,霜,Right,0,1,2,Cutter,InPlay,Single,
5,2026/7/4,2,1,田中柊,Right,寺尾,Right,0,0,0,TwoSeamFastball,BallCalled,,
6,2026/7/4,2,2,田中柊,Right,寺尾,Right,0,1,0,TwoSeamFastball,FoulBallFieldable,,
7,2026/7/4,2,3,田中柊,Right,寺尾,Right,1,1,1,Cutter,InPlay,Out,
8,2026/7/4,3,1,田中柊,Right,尾形,Left,2,0,0,Fastball,StrikeCalled,,
9,2026/7/4,3,2,田中柊,Right,尾形,Left,2,0,1,TwoSeamFastball,BallCalled,,
10,2026/7/4,3,3,田中柊,Right,尾形,Left,2,1,1,Cutter,InPlay,Single,
11,2026/7/4,4,1,田中柊,Right,三戸,Left,2,0,0,Cutter,BallCalled,,
12,2026/7/4,4,2,田中柊,Right,三戸,Left,2,1,0,TwoSeamFastball,BallCalled,,
13,2026/7/4,4,3,田中柊,Right,三戸,Left,2,2,0,Fastball,InPlay,Out,
1,2026/7/4,1,1,前田歩,Right,大平,Right,0,0,0,Fastball,BallCalled,,
2,2026/7/4,1,2,前田歩,Right,大平,Right,0,1,0,Fastball,InPlay,Out,
3,2026/7/4,2,1,前田歩,Right,大内,Left,1,0,0,ChangeUp,BallCalled,,
4,2026/7/4,2,2,前田歩,Right,大内,Left,1,1,0,Slider,BallCalled,,
5,2026/7/4,2,3,前田歩,Right,大内,Left,1,2,0,Fastball,StrikeCalled,,
6,2026/7/4,2,4,前田歩,Right,大内,Left,1,2,1,Fastball,InPlay,Out,
7,2026/7/4,3,1,前田歩,Right,井櫻,Left,2,0,0,Fastball,StrikeCalled,,
8,2026/7/4,3,2,前田歩,Right,井櫻,Left,2,0,1,Fastball,BallCalled,,
9,2026/7/4,3,3,前田歩,Right,井櫻,Left,2,1,1,ChangeUp,StrikeCalled,,
10,2026/7/4,3,4,前田歩,Right,井櫻,Left,2,1,2,Fastball,InPlay,Out,
1,2026/7/4,1,1,田中柊,Right,深谷,Right,0,0,0,Fastball,BallCalled,,
2,2026/7/4,1,2,田中柊,Right,深谷,Right,0,1,0,Fastball,StrikeCalled,,
3,2026/7/4,1,3,田中柊,Right,深谷,Right,0,1,1,Fastball,BallCalled,,
4,2026/7/4,1,4,田中柊,Right,深谷,Right,0,2,1,Fastball,FoulBallFieldable,,
5,2026/7/4,1,5,田中柊,Right,深谷,Right,0,2,2,Fastball,FoulBallFieldable,,
6,2026/7/4,1,6,田中柊,Right,深谷,Right,0,2,2,Fastball,FoulBallFieldable,,
7,2026/7/4,1,7,田中柊,Right,深谷,Right,0,2,2,TwoSeamFastball,StrikeSwinging,Out,
8,2026/7/4,2,1,田中柊,Right,渡邊康,Right,1,0,0,Fastball,FoulBallFieldable,,
9,2026/7/4,2,2,田中柊,Right,渡邊康,Right,1,0,1,Slider,StrikeCalled,,
10,2026/7/4,2,3,田中柊,Right,渡邊康,Right,1,0,2,Splitter,FoulBallFieldable,,
11,2026/7/4,2,4,田中柊,Right,渡邊康,Right,1,0,2,Fastball,FoulBallFieldable,,
12,2026/7/4,2,5,田中柊,Right,渡邊康,Right,1,0,2,Fastball,StrikeCalled,Out,
13,2026/7/4,3,1,田中柊,Right,吉田壮,Left,2,0,0,TwoSeamFastball,InPlay,Single,
14,2026/7/4,4,1,田中柊,Right,阿部,Left,2,0,0,Cutter,BallCalled,,
1,2026/7/4,1,1,前田歩,Right,山根,Right,0,1,0,Curveball,FoulBallFieldable,,
2,2026/7/4,1,2,前田歩,Right,山根,Right,0,1,1,Fastball,InPlay,Double,
3,2026/7/4,2,1,前田歩,Right,岡西,Left,0,0,0,Slider,FoulBallFieldable,,
4,2026/7/4,2,2,前田歩,Right,岡西,Left,0,0,1,ChangeUp,FoulBallFieldable,,
5,2026/7/4,2,3,前田歩,Right,岡西,Left,0,0,2,Fastball,FoulBallFieldable,,
6,2026/7/4,2,4,前田歩,Right,岡西,Left,0,0,2,Fastball,InPlay,Out,
7,2026/7/4,3,1,前田歩,Right,德丸,Left,1,0,0,ChangeUp,BallCalled,,
8,2026/7/4,3,2,前田歩,Right,德丸,Left,1,1,0,ChangeUp,BallCalled,,
9,2026/7/4,3,3,前田歩,Right,德丸,Left,1,2,0,Fastball,BallCalled,,
