PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
2,2026/7/19,1,2,毛木,Left,荘川,Left,0,1,0,Fastball,StrikeCalled,121,,,,
3,2026/7/19,1,3,毛木,Left,荘川,Left,0,1,1,Fastball,InPlay,,Single,LineDrive,,
4,2026/7/19,2,1,毛木,Left,江﨑,Left,0,0,0,Slider,BallCalled,98,,,,
5,2026/7/19,2,2,毛木,Left,江﨑,Left,0,1,0,Fastball,BallCalled,118,,,,
6,2026/7/19,2,3,毛木,Left,江﨑,Left,0,2,0,Fastball,StrikeCalled,117,,,,
7,2026/7/19,2,4,毛木,Left,江﨑,Left,0,2,1,Fastball,BallCalled,120,,,,
8,2026/7/19,2,5,毛木,Left,江﨑,Left,0,3,1,Fastball,InPlay,118,Out,GroundBall,,
9,2026/7/19,3,1,毛木,Left,湯浅,Right,1,0,0,Fastball,StrikeCalled,123,,,,
10,2026/7/19,3,2,毛木,Left,湯浅,Right,1,0,1,Slider,InPlay,99,Single,FlyBall,,
11,2026/7/19,4,1,毛木,Left,野田,Left,1,0,0,Fastball,StrikeCalled,123,,,,
12,2026/7/19,4,2,毛木,Left,野田,Left,1,0,1,Fastball,StrikeCalled,120,,,,
