PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
22,2026/7/12,6,1,田中,Right,荘川,Left,1,0,0,Fastball,InPlay,138,Out,FlyBall
23,2026/7/12,7,1,田中,Right,國光,Left,2,0,0,TwoSeamFastball,FoulBallFieldable,123,,
24,2026/7/12,7,2,田中,Right,國光,Left,2,0,1,Fastball,BallCalled,132,,
25,2026/7/12,7,3,田中,Right,國光,Left,2,1,1,TwoSeamFastball,BallCalled,121,,
26,2026/7/12,7,4,田中,Right,國光,Left,2,2,1,TwoSeamFastball,InPlay,,Out,FlyBall
1,2026/7/12,1,1,佐々木,Left,渡邊康,Right,0,0,0,Slider,FoulBallFieldable,113,,
2,2026/7/12,1,2,佐々木,Left,渡邊康,Right,0,0,1,Slider,FoulBallFieldable,114,,
3,2026/7/12,1,3,佐々木,Left,渡邊康,Right,0,0,2,Fastball,BallCalled,130,,
4,2026/7/12,1,4,佐々木,Left,渡邊康,Right,0,1,2,Slider,BallCalled,119,,
5,2026/7/12,1,5,佐々木,Left,渡邊康,Right,0,2,2,Slider,StrikeSwinging,116,Strikeout,
6,2026/7/12,2,1,佐々木,Left,小松騎,Right,1,0,0,Fastball,BallCalled,128,,
7,2026/7/12,2,2,佐々木,Left,小松騎,Right,1,1,0,Slider,BallCalled,114,,
8,2026/7/12,2,3,佐々木,Left,小松騎,Right,1,2,0,Slider,StrikeSwinging,116,,
9,2026/7/12,2,4,佐々木,Left,小松騎,Right,1,2,1,Fastball,BallCalled,129,,
10,2026/7/12,2,5,佐々木,Left,小松騎,Right,1,3,1,Slider,StrikeSwinging,121,Strikeout,
11,2026/7/12,3,1,佐々木,Left,新井,Left,2,0,0,ChangeUp,BallCalled,111,,
12,2026/7/12,3,2,佐々木,Left,新井,Left,2,1,0,Fastball,FoulBallFieldable,127,,
13,2026/7/12,3,3,佐々木,Left,新井,Left,2,1,1,Curveball,BallCalled,106,,
14,2026/7/12,3,4,佐々木,Left,新井,Left,2,2,1,Slider,InPlay,113,Out,FlyBall
