PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
14,2026/7/11,4,4,足達,Right,茨木,Left,2,1,2,ChangeUp,BallCalled,108,,,,
15,2026/7/11,4,5,足達,Right,茨木,Left,2,2,2,Cutter,BallCalled,111,,,,
16,2026/7/11,4,6,足達,Right,茨木,Left,2,3,2,Fastball,InPlay,130,Triple,FlyBall,,
17,2026/7/11,5,1,足達,Right,鈴木,Left,2,0,0,ChangeUp,BallCalled,,,,,
18,2026/7/11,5,2,足達,Right,鈴木,Left,2,1,0,Fastball,StrikeCalled,121,,,,
19,2026/7/11,5,3,足達,Right,鈴木,Left,2,1,1,Fastball,BallCalled,131,,,,
20,2026/7/11,5,4,足達,Right,鈴木,Left,2,2,1,Slider,BallCalled,105,,,,
21,2026/7/11,5,5,足達,Right,鈴木,Left,2,3,1,Fastball,FoulBallFieldable,123,,,,
22,2026/7/11,5,6,足達,Right,鈴木,Left,2,3,2,Fastball,BallCalled,129,Walk,,,
23,2026/7/11,6,1,足達,Right,片山,Left,2,0,0,Fastball,StrikeSwinging,125,,,,
24,2026/7/11,6,2,足達,Right,片山,Left,2,0,1,Fastball,FoulBallFieldable,128,,,,
25,2026/7/11,6,3,足達,Right,片山,Left,2,0,2,Slider,BallCalled,106,,,,
26,2026/7/11,6,4,足達,Right,片山,Left,2,1,2,Fastball,InPlay,130,Out,GroundBall,,
1,2026/7/11,1,1,千葉,Left,原口,Right,0,0,0,Curveball,BallCalled,85,,,,
2,2026/7/11,1,2,千葉,Left,原口,Right,0,1,0,Fastball,BallCalled,119,,,,
3,2026/7/11,1,3,千葉,Left,原口,Right,0,2,0,Fastball,BallCalled,120,,,,
4,2026/7/11,1,4,千葉,Left,原口,Right,0,3,0,Fastball,BallCalled,,,,,
5,2026/7/11,1,5,千葉,Left,原口,Right,0,0,0,Fastball,StrikeCalled,,,,,
6,2026/7/11,1,6,千葉,Left,原口,Right,0,0,1,Fastball,InPlay,120,Out,FlyBall,,
7,2026/7/11,2,1,千葉,Left,笠尾,Right,1,0,0,Curveball,InPlay,92,Single,LineDrive,,
8,2026/7/11,3,1,千葉,Left,高崎,Right,1,0,0,Fastball,BallCalled,,,,,
9,2026/7/11,3,2,千葉,Left,高崎,Right,1,1,0,Curveball,BallCalled,92,,,,
10,2026/7/11,3,3,千葉,Left,高崎,Right,1,2,0,Slider,BallCalled,101,,,,
11,2026/7/11,3,4,千葉,Left,高崎,Right,1,3,0,Fastball,BallCalled,,Walk,,,
12,2026/7/11,4,1,千葉,Left,奈良,Right,1,0,0,Curveball,FoulBallFieldable,,,,,
13,2026/7/11,4,2,千葉,Left,奈良,Right,1,0,1,ChangeUp,FoulBallFieldable,115,,,,
14,2026/7/11,4,3,千葉,Left,奈良,Right,1,0,2,Fastball,BallCalled,,,,,
15,2026/7/11,4,4,千葉,Left,奈良,Right,1,1,2,ChangeUp,FoulBallFieldable,105,,,,
16,2026/7/11,4,5,千葉,Left,奈良,Right,1,1,2,Fastball,StrikeSwinging,124,Strikeout,,,
17,2026/7/11,5,1,千葉,Left,新井,Left,2,0,0,Fastball,StrikeCalled,125,,,,
18,2026/7/11,5,2,千葉,Left,新井,Left,2,0,1,Slider,InPlay,104,Double,LineDrive,,
19,2026/7/11,6,1,千葉,Left,古田,Right,2,0,0,Fastball,FoulBallFieldable,120,,,,
20,2026/7/11,6,2,千葉,Left,古田,Right,2,0,1,Slider,StrikeCalled,106,,,,
21,2026/7/11,6,3,千葉,Left,古田,Right,2,0,2,Fastball,StrikeSwinging,119,Strikeout,,,
1,2026/7/11,1,1,足達,Right,石松,Left,0,0,0,Slider,BallCalled,98,,,,
2,2026/7/11,1,2,足達,Right,石松,Left,0,1,0,Slider,FoulBallFieldable,101,,,,
3,2026/7/11,1,3,足達,Right,石松,Left,0,1,1,ChangeUp,BallCalled,105,,,,
4,2026/7/11,1,4,足達,Right,石松,Left,0,2,1,Fastball,InPlay,127,Out,GroundBall,,
5,2026/7/11,2,1,足達,Right,風見,Right,1,0,0,Fastball,InPlay,130,Out,GroundBall,,
6,2026/7/11,3,1,足達,Right,野田,Left,2,0,0,Fastball,StrikeCalled,131,,,,
7,2026/7/11,3,2,足達,Right,野田,Left,2,0,1,Fastball,StrikeCalled,130,,,,
8,2026/7/11,3,3,足達,Right,野田,Left,2,0,2,Fastball,BallCalled,131,,,,
9,2026/7/11,3,4,足達,Right,野田,Left,2,1,2,Slider,StrikeCalled,105,Strikeout,,,
