PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
12,2026/7/31,4,4,俵積田,Right,片岡,Left,2,1,2,Fastball,BallCalled,132,,,
13,2026/7/31,4,5,俵積田,Right,片岡,Left,2,2,2,ChangeUp,InPlay,,Out,GroundBall,
1,2026/7/31,1,1,岩﨑龍,Left,渡邊康,Right,0,0,0,Cutter,BallCalled,121,,,
2,2026/7/31,1,2,岩﨑龍,Left,渡邊康,Right,0,1,0,Fastball,StrikeCalled,125,,,
3,2026/7/31,1,3,岩﨑龍,Left,渡邊康,Right,0,1,1,Curveball,InPlay,100,Out,GroundBall,
4,2026/7/31,2,1,岩﨑龍,Left,箭原,Left,1,0,0,Fastball,StrikeCalled,126,,,
5,2026/7/31,2,2,岩﨑龍,Left,箭原,Left,1,0,1,Cutter,FoulBallFieldable,121,,,
6,2026/7/31,2,3,岩﨑龍,Left,箭原,Left,1,0,2,Fastball,InPlay,131,Single,GroundBall,
7,2026/7/31,3,1,岩﨑龍,Left,豊田,Right,1,0,0,Cutter,InPlay,121,Single,GroundBall,
8,2026/7/31,4,1,岩﨑龍,Left,江﨑,Left,1,0,0,Cutter,StrikeSwinging,118,,,
9,2026/7/31,4,2,岩﨑龍,Left,江﨑,Left,1,0,1,Curveball,BallCalled,104,,,
10,2026/7/31,4,3,岩﨑龍,Left,江﨑,Left,1,1,1,Cutter,BallCalled,120,,,
11,2026/7/31,4,4,岩﨑龍,Left,江﨑,Left,1,2,1,Fastball,StrikeCalled,128,,,
12,2026/7/31,4,5,岩﨑龍,Left,江﨑,Left,1,2,2,ChangeUp,StrikeSwinging,124,Strikeout,,
13,2026/7/31,5,1,岩﨑龍,Left,原口,Right,2,0,0,Curveball,FoulBallFieldable,104,,,
14,2026/7/31,5,2,岩﨑龍,Left,原口,Right,2,0,1,Fastball,BallCalled,130,,,
15,2026/7/31,5,3,岩﨑龍,Left,原口,Right,2,1,1,ChangeUp,BallCalled,112,,,
16,2026/7/31,5,4,岩﨑龍,Left,原口,Right,2,2,1,Cutter,InPlay,121,Out,GroundBall,
1,2026/7/31,1,1,俵積田,Right,今野,Right,0,0,0,Fastball,StrikeCalled,127,,,
2,2026/7/31,1,2,俵積田,Right,今野,Right,0,0,1,Cutter,FoulBallFieldable,,,,
3,2026/7/31,1,3,俵積田,Right,今野,Right,0,0,2,Slider,BallCalled,113,,,
4,2026/7/31,1,4,俵積田,Right,今野,Right,0,1,2,Curveball,BallCalled,,,,
5,2026/7/31,1,5,俵積田,Right,今野,Right,0,2,2,Fastball,FoulBallFieldable,124,,,
6,2026/7/31,1,6,俵積田,Right,今野,Right,0,2,2,ChangeUp,BallCalled,119,,,
7,2026/7/31,1,7,俵積田,Right,今野,Right,0,3,2,Fastball,InPlay,128,Out,FlyBall,
8,2026/7/31,2,1,俵積田,Right,野田,Left,1,0,0,Slider,StrikeCalled,117,,,
9,2026/7/31,2,2,俵積田,Right,野田,Left,1,0,1,Fastball,BallCalled,,,,
10,2026/7/31,2,3,俵積田,Right,野田,Left,1,1,1,Fastball,StrikeSwinging,,,,
11,2026/7/31,2,4,俵積田,Right,野田,Left,1,1,2,ChangeUp,BallCalled,117,,,
12,2026/7/31,2,5,俵積田,Right,野田,Left,1,2,2,Fastball,FoulBallFieldable,134,,,
13,2026/7/31,2,6,俵積田,Right,野田,Left,1,2,2,Fastball,FoulBallFieldable,,,,
14,2026/7/31,2,7,俵積田,Right,野田,Left,1,2,2,ChangeUp,InPlay,120,Out,GroundBall,
15,2026/7/31,3,1,俵積田,Right,秋田,Right,2,0,0,Curveball,BallCalled,108,,,
16,2026/7/31,3,2,俵積田,Right,秋田,Right,2,1,0,Slider,BallCalled,115,,,
17,2026/7/31,3,3,俵積田,Right,秋田,Right,2,2,0,Fastball,StrikeCalled,126,,,
18,2026/7/31,3,4,俵積田,Right,秋田,Right,2,2,1,Fastball,BallCalled,,,,
19,2026/7/31,3,5,俵積田,Right,秋田,Right,2,3,1,Fastball,InPlay,127,Out,FlyBall,
1,2026/7/31,1,1,岩﨑龍,Left,西谷,Left,0,0,0,Fastball,StrikeCalled,126,,,
2,2026/7/31,1,2,岩﨑龍,Left,西谷,Left,0,0,1,Cutter,BallCalled,119,,,
3,2026/7/31,1,3,岩﨑龍,Left,西谷,Left,0,1,1,Cutter,BallCalled,118,,,
4,2026/7/31,1,4,岩﨑龍,Left,西谷,Left,0,2,1,Fastball,InPlay,124,Out,GroundBall,
5,2026/7/31,2,1,岩﨑龍,Left,金子,Right,1,0,0,Curveball,BallCalled,102,,,
6,2026/7/31,2,2,岩﨑龍,Left,金子,Right,1,1,0,Fastball,BallCalled,126,,,
7,2026/7/31,2,3,岩﨑龍,Left,金子,Right,1,2,0,Cutter,BallCalled,119,,,
8,2026/7/31,2,4,岩﨑龍,Left,金子,Right,1,3,0,Cutter,StrikeCalled,122,,,
9,2026/7/31,2,5,岩﨑龍,Left,金子,Right,1,3,1,Cutter,BallCalled,122,Walk,,
10,2026/7/31,3,1,岩﨑龍,Left,舟橋,Right,1,0,0,Fastball,StrikeCalled,129,,,
11,2026/7/31,3,2,岩﨑龍,Left,舟橋,Right,1,0,1,Fastball,BallCalled,131,,,
12,2026/7/31,3,3,岩﨑龍,Left,舟橋,Right,1,1,1,Cutter,InPlay,123,Triple,FlyBall,
13,2026/7/31,4,1,岩﨑龍,Left,永田,Right,1,0,0,Fastball,StrikeCalled,129,,,
14,2026/7/31,4,2,岩﨑龍,Left,永田,Right,1,0,1,Cutter,InPlay,123,Sacrifice,FlyBall,
15,2026/7/31,5,1,岩﨑龍,Left,渡邊康,Right,2,0,0,Curveball,BallCalled,106,,,
16,2026/7/31,5,2,岩﨑龍,Left,渡邊康,Right,2,1,0,Fastball,BallCalled,127,,,
17,2026/7/31,5,3,岩﨑龍,Left,渡邊康,Right,2,2,0,ChangeUp,FoulBallFieldable,120,,,
18,2026/7/31,5,4,岩﨑龍,Left,渡邊康,Right,2,2,1,Cutter,StrikeCalled,121,,,
19,2026/7/31,5,5,岩﨑龍,Left,渡邊康,Right,2,2,2,Cutter,FoulBallFieldable,112,,,
20,2026/7/31,5,6,岩﨑龍,Left,渡邊康,Right,2,2,2,Fastball,BallCalled,128,,,
21,2026/7/31,5,7,岩﨑龍,Left,渡邊康,Right,2,3,2,Cutter,BallCalled,120,Walk,,
1,2026/7/31,1,1,伊藤光,Right,箭原,Left,2,0,0,TwoSeamFastball,BallCalled,121,,,
2,2026/7/31,1,2,伊藤光,Right,箭原,Left,2,1,0,TwoSeamFastball,BallCalled,121,,,
3,2026/7/31,1,3,伊藤光,Right,箭原,Left,2,2,0,Fastball,BallCalled,121,,,
1,2026/7/31,1,1,俵積田,Right,新井,Left,0,0,0,Fastball,BallCalled,125,,,
2,2026/7/31,1,2,俵積田,Right,新井,Left,0,1,0,Fastball,StrikeSwinging,124,,,
3,2026/7/31,1,3,俵積田,Right,新井,Left,0,1,1,Fastball,InPlay,125,Out,GroundBall,
4,2026/7/31,2,1,俵積田,Right,荘川,Left,1,0,0,Fastball,StrikeCalled,126,,,
5,2026/7/31,2,2,俵積田,Right,荘川,Left,1,0,1,ChangeUp,InPlay,,Out,FlyBall,
6,2026/7/31,3,1,俵積田,Right,高崎,Right,2,0,0,Curveball,StrikeCalled,106,,,
7,2026/7/31,3,2,俵積田,Right,高崎,Right,2,0,1,Cutter,BallCalled,115,,,
8,2026/7/31,3,3,俵積田,Right,高崎,Right,2,1,1,Fastball,BallCalled,128,,,
9,2026/7/31,3,4,俵積田,Right,高崎,Right,2,2,1,Fastball,InPlay,126,Single,LineDrive,
10,2026/7/31,4,1,俵積田,Right,古田,Right,2,0,0,Slider,StrikeCalled,115,,,
11,2026/7/31,4,2,俵積田,Right,古田,Right,2,0,1,Slider,StrikeSwinging,114,,,
12,2026/7/31,4,3,俵積田,Right,古田,Right,2,0,2,Fastball,BallCalled,132,,,
13,2026/7/31,4,4,俵積田,Right,古田,Right,2,1,2,Fastball,StrikeSwinging,128,Strikeout,,
