PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
3,2026/7/23,2,1,俵積田,Right,佐藤寛,Left,1,0,0,Fastball,StrikeCalled,-,,
4,2026/7/23,2,2,俵積田,Right,佐藤寛,Left,1,0,1,Fastball,InPlay,-,Single,LineDrive
5,2026/7/23,3,1,俵積田,Right,金子,Right,1,0,0,Fastball,StrikeCalled,128,,
6,2026/7/23,3,2,俵積田,Right,金子,Right,1,0,1,Fastball,StrikeCalled,124,,
7,2026/7/23,3,3,俵積田,Right,金子,Right,1,0,2,ChangeUp,InPlay,123,Single,LineDrive
8,2026/7/23,4,1,俵積田,Right,細谷,Left,1,0,0,ChangeUp,InPlay,120,Single,GroundBall
9,2026/7/23,5,1,俵積田,Right,山元,Right,1,0,0,Fastball,InPlay,125,Single,LineDrive
10,2026/7/23,6,1,俵積田,Right,西谷,Left,1,0,0,Slider,StrikeCalled,118,,
11,2026/7/23,6,2,俵積田,Right,西谷,Left,1,0,1,ChangeUp,BallCalled,120,,
12,2026/7/23,6,3,俵積田,Right,西谷,Left,1,1,1,Slider,BallCalled,124,,
13,2026/7/23,6,4,俵積田,Right,西谷,Left,1,2,1,Slider,InPlay,120,Single,GroundBall
14,2026/7/23,7,1,俵積田,Right,箭原,Left,1,0,0,Fastball,BallCalled,132,,
15,2026/7/23,7,2,俵積田,Right,箭原,Left,1,1,0,Fastball,StrikeCalled,132,,
16,2026/7/23,7,3,俵積田,Right,箭原,Left,1,1,1,ChangeUp,FoulBallFieldable,120,,
17,2026/7/23,7,4,俵積田,Right,箭原,Left,1,1,2,Fastball,FoulBallFieldable,-,,
18,2026/7/23,7,5,俵積田,Right,箭原,Left,1,1,2,ChangeUp,InPlay,120,Out,GroundBall
1,2026/7/23,1,1,毛木,Left,高橋隆,Left,0,0,0,Fastball,FoulBallFieldable,118,,
2,2026/7/23,1,2,毛木,Left,高橋隆,Left,0,0,1,Curveball,StrikeCalled,108,,
3,2026/7/23,1,3,毛木,Left,高橋隆,Left,0,0,2,Fastball,InPlay,-,Out,LineDrive
4,2026/7/23,2,1,毛木,Left,三澤,Right,1,0,0,Curveball,StrikeCalled,109,,
5,2026/7/23,2,2,毛木,Left,三澤,Right,1,0,1,ChangeUp,BallCalled,111,,
6,2026/7/23,2,3,毛木,Left,三澤,Right,1,1,1,Fastball,InPlay,123,Out,GroundBall
7,2026/7/23,3,1,毛木,Left,片岡,Left,2,0,0,Fastball,BallCalled,123,,
8,2026/7/23,3,2,毛木,Left,片岡,Left,2,1,0,Fastball,BallCalled,122,,
9,2026/7/23,3,3,毛木,Left,片岡,Left,2,2,0,Fastball,FoulBallFieldable,121,,
