PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
5,2026/7/11,2,2,安田,Right,山根,Right,1,0,1,Fastball,BallCalled,,,
6,2026/7/11,2,3,安田,Right,山根,Right,1,1,1,Cutter,InPlay,127,Out,FlyBall
7,2026/7/11,3,1,安田,Right,川尻,Right,2,0,0,Fastball,StrikeCalled,140,,
8,2026/7/11,3,2,安田,Right,川尻,Right,2,0,1,Fastball,BallCalled,131,,
9,2026/7/11,3,3,安田,Right,川尻,Right,2,1,1,TwoSeamFastball,StrikeCalled,114,,
10,2026/7/11,3,4,安田,Right,川尻,Right,2,1,2,TwoSeamFastball,FoulBallFieldable,,,
11,2026/7/11,3,5,安田,Right,川尻,Right,2,1,2,Fastball,FoulBallFieldable,136,,
12,2026/7/11,3,6,安田,Right,川尻,Right,2,1,2,Fastball,StrikeSwinging,140,Strikeout,
1,2026/7/11,1,1,岡村,Right,片岡,Right,0,0,0,Cutter,StrikeCalled,122,,
2,2026/7/11,1,2,岡村,Right,片岡,Left,0,0,1,Fastball,StrikeSwinging,134,,
3,2026/7/11,1,3,岡村,Right,片岡,Left,0,0,2,Fastball,BallCalled,137,,
4,2026/7/11,1,4,岡村,Right,片岡,Left,0,1,2,Fastball,BallCalled,136,,
5,2026/7/11,1,5,岡村,Right,片岡,Left,0,2,2,ChangeUp,FoulBallFieldable,123,,
6,2026/7/11,1,6,岡村,Right,片岡,Left,0,2,2,Cutter,StrikeCalled,123,Strikeout,
7,2026/7/11,2,1,岡村,Right,渡邊康,Right,1,0,0,Fastball,BallCalled,,,
8,2026/7/11,2,2,岡村,Right,渡邊康,Right,1,1,0,Curveball,BallCalled,104,,
9,2026/7/11,2,3,岡村,Right,渡邊康,Right,1,2,0,ChangeUp,StrikeSwinging,,,
10,2026/7/11,2,4,岡村,Right,渡邊康,Right,1,2,1,Cutter,BallCalled,126,,
11,2026/7/11,2,5,岡村,Right,渡邊康,Right,1,3,1,Slider,StrikeCalled,116,,
12,2026/7/11,2,6,岡村,Right,渡邊康,Right,1,3,2,Slider,FoulBallFieldable,115,,
13,2026/7/11,2,7,岡村,Right,渡邊康,Right,1,3,2,Cutter,InPlay,,Out,FlyBall
14,2026/7/11,3,1,岡村,Right,箭原,Left,2,0,0,ChangeUp,BallCalled,124,,
15,2026/7/11,3,2,岡村,Right,箭原,Left,2,1,0,ChangeUp,StrikeCalled,124,,
16,2026/7/11,3,3,岡村,Right,箭原,Left,2,1,1,Fastball,FoulBallFieldable,134,,
17,2026/7/11,3,4,岡村,Right,箭原,Left,2,1,2,Fastball,BallCalled,136,,
18,2026/7/11,3,5,岡村,Right,箭原,Left,2,2,2,Cutter,InPlay,125,Out,GroundBall
1,2026/7/11,1,1,安田,Right,寺尾,Right,0,0,0,Cutter,BallCalled,105,,
2,2026/7/11,1,2,安田,Right,寺尾,Right,0,1,0,TwoSeamFastball,StrikeCalled,113,,
3,2026/7/11,1,3,安田,Right,寺尾,Right,0,1,1,TwoSeamFastball,FoulBallFieldable,125,,
4,2026/7/11,1,4,安田,Right,寺尾,Right,0,1,2,Fastball,BallCalled,133,,
5,2026/7/11,1,5,安田,Right,寺尾,Right,0,2,2,TwoSeamFastball,FoulBallFieldable,116,,
6,2026/7/11,1,6,安田,Right,寺尾,Right,0,2,2,Curveball,InPlay,,Out,FlyBall
7,2026/7/11,2,1,安田,Right,大越,Right,1,0,0,Cutter,BallCalled,121,,
8,2026/7/11,2,2,安田,Right,大越,Right,1,1,0,Fastball,InPlay,130,Out,FlyBall
9,2026/7/11,3,1,安田,Right,三戸,Left,2,0,0,Fastball,BallCalled,137,,
10,2026/7/11,3,2,安田,Right,三戸,Left,2,1,0,TwoSeamFastball,StrikeCalled,118,,
11,2026/7/11,3,3,安田,Right,三戸,Left,2,1,1,ChangeUp,BallCalled,103,,
12,2026/7/11,3,4,安田,Right,三戸,Left,2,2,1,Curveball,BallCalled,,,
13,2026/7/11,3,5,安田,Right,三戸,Left,2,3,1,TwoSeamFastball,StrikeCalled,116,,
14,2026/7/11,3,6,安田,Right,三戸,Left,2,3,2,Fastball,InPlay,130,Out,FlyBall
1,2026/7/11,1,1,岡村,Right,井櫻,Left,0,0,0,Curveball,StrikeCalled,107,,
2,2026/7/11,1,2,岡村,Right,井櫻,Left,0,0,1,ChangeUp,BallCalled,119,,
3,2026/7/11,1,3,岡村,Right,井櫻,Left,0,1,1,Cutter,BallCalled,,,
4,2026/7/11,1,4,岡村,Right,井櫻,Left,0,2,1,ChangeUp,BallCalled,123,,
5,2026/7/11,1,5,岡村,Right,井櫻,Left,0,3,1,Cutter,FoulBallFieldable,,,
6,2026/7/11,1,6,岡村,Right,井櫻,Left,0,3,2,Fastball,InPlay,129,Double,FlyBall
7,2026/7/11,2,1,岡村,Right,吉田壮,Left,0,0,0,Cutter,FoulBallFieldable,124,,
8,2026/7/11,2,2,岡村,Right,吉田壮,Left,0,0,1,Fastball,BallCalled,134,,
9,2026/7/11,2,3,岡村,Right,吉田壮,Left,0,1,1,ChangeUp,InPlay,123,Sacrifice,
10,2026/7/11,3,1,岡村,Right,尾形,Left,1,0,0,Fastball,BallCalled,136,,
11,2026/7/11,3,2,岡村,Right,尾形,Left,1,1,0,Fastball,BallCalled,135,,
12,2026/7/11,3,3,岡村,Right,尾形,Left,1,2,0,ChangeUp,StrikeSwinging,124,,
13,2026/7/11,3,4,岡村,Right,尾形,Left,1,2,1,ChangeUp,BallCalled,124,,
