PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
2,2026/8/2,1,2,足達,Right,石松,Left,0,1,1,Fastball,BallCalled,,,
3,2026/8/2,1,3,足達,Right,石松,Left,0,2,1,Fastball,FoulBallFieldable,130,,
4,2026/8/2,1,4,足達,Right,石松,Left,0,2,2,Cutter,StrikeSwinging,,Out,
5,2026/8/2,2,1,足達,Right,小室,Right,1,0,0,Fastball,InPlay,124,Out,FlyBall
6,2026/8/2,3,1,足達,Right,箭原,Left,2,0,0,Fastball,BallCalled,133,,
7,2026/8/2,3,2,足達,Right,箭原,Left,2,1,0,Fastball,BallCalled,131,,
8,2026/8/2,3,3,足達,Right,箭原,Left,2,2,0,Fastball,StrikeCalled,130,,
9,2026/8/2,3,4,足達,Right,箭原,Left,2,2,1,ChangeUp,BallCalled,120,,
10,2026/8/2,3,5,足達,Right,箭原,Left,2,3,1,Fastball,BallCalled,130,Walk,
11,2026/8/2,4,1,足達,Right,野田,Left,2,0,0,Fastball,InPlay,126,Single,LineDrive
1,2026/8/2,1,1,中村心,Left,岡西,Left,0,0,0,Fastball,BallCalled,137,,
2,2026/8/2,1,2,中村心,Left,岡西,Left,0,1,0,Fastball,StrikeCalled,134,,
3,2026/8/2,1,3,中村心,Left,岡西,Left,0,1,1,ChangeUp,InPlay,130,Single,FlyBall
4,2026/8/2,2,1,中村心,Left,大平,Right,0,0,0,Fastball,InPlay,,Single,GroundBall
5,2026/8/2,3,1,中村心,Left,片岡,Left,0,0,0,Fastball,FoulBallFieldable,,,
6,2026/8/2,3,2,中村心,Left,片岡,Left,0,0,1,Fastball,InPlay,140,Undefined,GroundBall
7,2026/8/2,4,1,中村心,Left,高崎,Right,1,0,0,Fastball,StrikeCalled,142,,
8,2026/8/2,4,2,中村心,Left,高崎,Right,1,0,1,Fastball,BallCalled,,,
9,2026/8/2,4,3,中村心,Left,高崎,Right,1,1,1,Fastball,StrikeCalled,,,
10,2026/8/2,4,4,中村心,Left,高崎,Right,1,1,2,Fastball,StrikeSwinging,144,Out,
11,2026/8/2,5,1,中村心,Left,西谷,Left,2,0,0,Fastball,StrikeSwinging,142,,
12,2026/8/2,5,2,中村心,Left,西谷,Left,2,0,1,Fastball,StrikeSwinging,,,
13,2026/8/2,5,3,中村心,Left,西谷,Left,2,0,2,Fastball,BallCalled,,,
14,2026/8/2,5,4,中村心,Left,西谷,Left,2,1,2,Fastball,FoulBallFieldable,143,,
15,2026/8/2,5,5,中村心,Left,西谷,Left,2,1,2,Fastball,StrikeCalled,,Strikeout,
1,2026/8/2,1,1,足達,Right,金子,Right,0,0,0,Cutter,FoulBallFieldable,,,
2,2026/8/2,1,2,足達,Right,金子,Right,0,0,1,Slider,BallCalled,105,,
3,2026/8/2,1,3,足達,Right,金子,Right,0,1,1,Fastball,BallCalled,,,
4,2026/8/2,1,4,足達,Right,金子,Right,0,2,1,Fastball,InPlay,,Out,FlyBall
5,2026/8/2,2,1,足達,Right,髙橋海,Right,1,0,0,Fastball,BallCalled,,,
6,2026/8/2,2,2,足達,Right,髙橋海,Right,1,1,0,Fastball,FoulBallFieldable,130,,
7,2026/8/2,2,3,足達,Right,髙橋海,Right,1,1,1,Fastball,BallCalled,,,
