PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
4,2026/7/19,1,4,安田,Right,松本,Right,0,1,2,Fastball,StrikeSwinging,,Strikeout,,
5,2026/7/19,2,1,安田,Right,山崎,Left,1,0,0,ChangeUp,BallCalled,107,,,
6,2026/7/19,2,2,安田,Right,山崎,Left,1,1,0,TwoSeamFastball,StrikeCalled,120,,,
7,2026/7/19,2,3,安田,Right,山崎,Left,1,1,1,ChangeUp,StrikeCalled,108,,,
8,2026/7/19,2,4,安田,Right,山崎,Left,1,1,2,TwoSeamFastball,InPlay,127,Out,GroundBall,
9,2026/7/19,3,1,安田,Right,坂井,Right,2,0,0,Fastball,StrikeSwinging,136,,,
10,2026/7/19,3,2,安田,Right,坂井,Right,2,0,1,Fastball,BallCalled,141,,,
11,2026/7/19,3,3,安田,Right,坂井,Right,2,1,1,TwoSeamFastball,StrikeCalled,,,,
12,2026/7/19,3,4,安田,Right,坂井,Right,2,1,2,Fastball,BallCalled,144,,,
13,2026/7/19,3,5,安田,Right,坂井,Right,2,2,2,Fastball,InPlay,137,Error,GroundBall,
14,2026/7/19,4,1,安田,Right,山下,Right,2,0,0,ChangeUp,BallCalled,112,,,
15,2026/7/19,4,2,安田,Right,山下,Right,2,1,0,Fastball,StrikeCalled,133,,,
16,2026/7/19,4,3,安田,Right,山下,Right,2,1,1,Fastball,FoulBallFieldable,134,,,
17,2026/7/19,4,4,安田,Right,山下,Right,2,1,2,TwoSeamFastball,FoulBallFieldable,119,,,
18,2026/7/19,4,5,安田,Right,山下,Right,2,1,2,TwoSeamFastball,FoulBallFieldable,119,,,
19,2026/7/19,4,6,安田,Right,山下,Right,2,1,2,TwoSeamFastball,StrikeSwinging,116,Strikeout,,
1,2026/7/19,1,1,佐宗,Left,渡辺,Right,0,0,0,TwoSeamFastball,BallCalled,130,,,
2,2026/7/19,1,2,佐宗,Left,渡辺,Right,0,1,0,Fastball,BallCalled,143,,,
3,2026/7/19,1,3,佐宗,Left,渡辺,Right,0,2,0,Fastball,StrikeCalled,140,,,
4,2026/7/19,1,4,佐宗,Left,渡辺,Right,0,2,1,Fastball,FoulBallFieldable,140,,,
5,2026/7/19,1,5,佐宗,Left,渡辺,Right,0,2,2,Fastball,InPlay,143,Out,FlyBall,
6,2026/7/19,2,1,佐宗,Left,丹羽,Left,1,0,0,Slider,StrikeSwinging,132,,,
7,2026/7/19,2,2,佐宗,Left,丹羽,Left,1,0,1,Slider,StrikeSwinging,129,,,
8,2026/7/19,2,3,佐宗,Left,丹羽,Left,1,0,2,Fastball,BallCalled,143,,,
9,2026/7/19,2,4,佐宗,Left,丹羽,Left,1,1,2,Slider,BallCalled,129,,,
10,2026/7/19,2,5,佐宗,Left,丹羽,Left,1,2,2,Slider,StrikeCalled,131,Strikeout,,
11,2026/7/19,3,1,佐宗,Left,田澤,Left,2,0,0,Slider,StrikeCalled,129,,,
12,2026/7/19,3,2,佐宗,Left,田澤,Left,2,0,1,Fastball,BallCalled,142,,,
13,2026/7/19,3,3,佐宗,Left,田澤,Left,2,1,1,Slider,BallCalled,124,,,
14,2026/7/19,3,4,佐宗,Left,田澤,Left,2,2,1,Fastball,BallCalled,139,,,
15,2026/7/19,3,5,佐宗,Left,田澤,Left,2,3,1,Fastball,StrikeCalled,142,,,
16,2026/7/19,3,6,佐宗,Left,田澤,Left,2,3,2,Fastball,StrikeCalled,143,Strikeout,,
