PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/9/5,1,1,香西,Left,7,Right,0,0,0,Curveball,StrikeCalled,,,,
2,2026/9/5,1,2,香西,Left,7,Right,0,0,1,Slider,BallCalled,121,,,
3,2026/9/5,1,3,香西,Left,7,Right,0,1,1,Splitter,InPlay,126,Out,GroundBall,
4,2026/9/5,2,1,香西,Left,8,Right,1,0,0,Cutter,StrikeSwinging,126,,,
5,2026/9/5,2,2,香西,Left,8,Right,1,0,1,Fastball,StrikeCalled,136,,,
6,2026/9/5,2,3,香西,Left,8,Right,1,0,2,Fastball,BallCalled,136,,,
7,2026/9/5,2,4,香西,Left,8,Right,1,1,2,Fastball,FoulBallFieldable,136,,,
8,2026/9/5,2,5,香西,Left,8,Right,1,1,2,Fastball,BallCalled,136,HitByPitch,,
9,2026/9/5,3,1,香西,Left,9,Right,1,0,0,Fastball,StrikeCalled,135,,,
10,2026/9/5,3,2,香西,Left,9,Right,1,0,1,Cutter,FoulBallFieldable,126,,,
11,2026/9/5,3,3,香西,Left,9,Right,1,0,2,Splitter,BallCalled,126,,,
12,2026/9/5,3,4,香西,Left,9,Right,1,1,2,Fastball,BallCalled,134,,,
13,2026/9/5,3,5,香西,Left,9,Right,1,2,2,Slider,InPlay,129,Out,GroundBall,
14,2026/9/5,4,1,香西,Left,1,Left,2,0,0,Cutter,BallCalled,124,,,
15,2026/9/5,4,2,香西,Left,1,Left,2,1,0,Cutter,BallCalled,124,,,
16,2026/9/5,4,3,香西,Left,1,Left,2,2,0,Cutter,StrikeCalled,124,,,
17,2026/9/5,4,4,香西,Left,1,Left,2,2,1,Curveball,BallCalled,111,,,
18,2026/9/5,4,5,香西,Left,1,Left,2,3,1,Fastball,StrikeCalled,130,,,
19,2026/9/5,4,6,香西,Left,1,Left,2,3,2,Fastball,StrikeCalled,136,Strikeout,,
1,2026/9/5,1,1,田中,Right,2,Left,0,0,0,TwoSeamFastball,BallCalled,,,,
2,2026/9/5,1,2,田中,Right,2,Left,0,1,0,TwoSeamFastball,BallCalled,124,,,
3,2026/9/5,1,3,田中,Right,2,Left,0,2,0,Fastball,BallCalled,137,,,
4,2026/9/5,1,4,田中,Right,2,Left,0,3,0,Fastball,BallCalled,136,Walk,,
5,2026/9/5,2,1,田中,Right,3,Right,0,0,0,Fastball,InPlay,137,Sacrifice,Bunt,
6,2026/9/5,3,1,田中,Right,4,Left,1,0,0,Fastball,BallCalled,139,,,
7,2026/9/5,3,2,田中,Right,4,Left,1,1,0,Fastball,StrikeCalled,136,,,
8,2026/9/5,3,3,田中,Right,4,Left,1,1,1,TwoSeamFastball,FoulBallFieldable,124,,,
9,2026/9/5,3,4,田中,Right,4,Left,1,1,2,Fastball,BallCalled,140,,,
10,2026/9/5,3,5,田中,Right,4,Left,1,2,2,Fastball,StrikeSwinging,138,Strikeout,,
11,2026/9/5,4,1,田中,Right,5,Left,2,0,0,TwoSeamFastball,InPlay,127,Out,GroundBall,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
,,,,,,,,0,0,0,,,,,,
